District,State,Population,Growth,Sex-Ratio,Literacy
Amreli,Gujarat,1514190,8.63%,964,74.25
Shajapur,Madhya Pradesh,1512681,17.20%,938,69.09
Kangra,Himachal Pradesh,1510075,12.77%,1012,85.67
Dharmapuri,Tamil Nadu,1506843,16.34%,946,68.54
Bhadrak,Orissa,1506337,12.94%,981,82.78
Karnal,Haryana,1505324,18.14%,887,74.73
Pashchimi Singhbhum,Jharkhand,1502338,21.75%,1005,58.63
Raigarh_2,Chhattisgarh,1493984,18.05%,991,73.26
Deoghar,Jharkhand,1492073,28.03%,925,64.85
Bargarh,Orissa,1481255,10.02%,977,74.62
Vidisha,Madhya Pradesh,1458875,20.09%,896,70.53
Karauli,Rajasthan,1458248,20.55%,861,66.22
Ratlam,Madhya Pradesh,1455069,19.72%,971,66.78
Sonipat,Haryana,1450001,13.35%,856,79.12
Tikamgarh,Madhya Pradesh,1445166,20.13%,901,61.43
Kendrapara,Orissa,1440361,10.63%,1007,85.15
Uttara Kannada,Karnataka,1437169,6.17%,979,84.06
Kasganj,Uttar Pradesh,1436719,16.93%,880,61.02
Tonk,Rajasthan,1421326,17.30%,952,61.58
Bastar,Chhattisgarh,1413199,17.96%,1023,54.4
Jhalawar,Rajasthan,1411129,19.55%,946,61.5
Gandhinagar,Gujarat,1391753,4.29%,923,84.16
Koppal,Karnataka,1389920,16.21%,986,68.09
Dungarpur,Rajasthan,1388552,25.36%,994,59.46
Bathinda,Punjab,1388525,17.34%,868,68.28
Barwani,Madhya Pradesh,1385881,27.57%,982,49.08
Koraput,Orissa,1379647,16.86%,1032,49.21
Auraiya,Uttar Pradesh,1379545,16.91%,864,78.95
Seoni,Madhya Pradesh,1379131,18.22%,982,72.12
Munger,Bihar,1367765,20.21%,876,70.46
Ramanathapuram,Tamil Nadu,1353445,13.96%,983,80.72
Patan,Gujarat,1343734,13.61%,935,72.3
Mandsaur,Madhya Pradesh,1340411,13.24%,963,71.78
Sivaganga,Tamil Nadu,1339101,15.90%,1003,79.85
Sawai Madhopur,Rajasthan,1335551,19.56%,897,65.39
Jind,Haryana,1334152,12.13%,871,71.44
Raisen,Madhya Pradesh,1331597,18.35%,901,72.98
Navsari,Gujarat,1329672,8.15%,961,83.88
Tinsukia,Assam,1327929,15.47%,952,69.66
Dibrugarh,Assam,1326335,11.92%,961,76.05
Garhwa,Jharkhand,1322784,27.75%,935,60.33
Gondiya,Maharashtra,1322507,10.14%,999,84.95
Dumka,Jharkhand,1321442,19.42%,977,61.02
Godda,Jharkhand,1313551,25.35%,938,56.4
Sehore,Madhya Pradesh,1311332,21.54%,918,70.06
East Nimar,Madhya Pradesh,1310061,21.50%,943,66.39
Kasaragod,Kerala,1307375,8.58%,1080,90.09
Baghpat,Uttar Pradesh,1303048,11.95%,861,72.01
Wardha,Maharashtra,1300774,5.18%,946,86.99
Sirsa,Haryana,1295189,15.99%,897,68.82
Katni,Madhya Pradesh,1292042,21.41%,952,71.98
Anugul,Orissa,1273821,11.74%,943,77.53
Thiruvarur,Tamil Nadu,1264277,8.11%,1017,82.86
Damoh,Madhya Pradesh,1264219,16.63%,910,69.73
Chikkaballapura,Karnataka,1255104,9.23%,972,69.76
Kamrup Metropolitan,Assam,1253938,18.34%,936,88.71
Theni,Tamil Nadu,1245899,13.89%,991,77.26
Guna,Madhya Pradesh,1241519,26.97%,912,63.23
Hoshangabad,Madhya Pradesh,1241350,14.49%,914,75.29
Srinagar,Jammu and Kashmir,1236829,20.35%,900,69.41
Karimganj,Assam,1228686,21.90%,963,78.22
Baran,Rajasthan,1222755,19.68%,929,66.66
Lalitpur,Uttar Pradesh,1221592,24.94%,906,63.52
Nabarangapur,Orissa,1220946,19.03%,1019,46.43
Yamunanagar,Haryana,1214205,16.57%,877,77.99
Korba,Chhattisgarh,1206640,19.25%,969,72.37
Dhaulpur,Rajasthan,1206516,22.71%,846,69.08
Panipat,Haryana,1205437,24.60%,864,75.94
Bhandara,Maharashtra,1200334,5.65%,982,83.76
Pathanamthitta,Kerala,1197412,-2.97%,1132,96.55
Washim,Maharashtra,1197160,17.34%,930,83.25
Dhenkanal,Orissa,1192811,11.80%,947,78.76
Singrauli,Madhya Pradesh,1178273,28.05%,920,60.41
Udupi,Karnataka,1177361,5.85%,1094,86.24
Hingoli,Maharashtra,1177345,19.27%,942,78.17
Yadgir,Karnataka,1174271,22.81%,989,51.83
Rajsamand,Rajasthan,1156597,17.18%,990,63.14
Sivasagar,Assam,1151050,9.44%,954,80.41
Sahibganj,Jharkhand,1150567,24.01%,952,52.04
Chikmagalur,Karnataka,1137961,-0.26%,1008,79.25
Jagatsinghapur,Orissa,1136971,7.50%,968,86.59
Ambala,Haryana,1128350,11.23%,885,81.75
Sidhi,Madhya Pradesh,1127033,23.72%,957,64.43
Jehanabad,Bihar,1125313,21.68%,922,66.8
Tarn Taran,Punjab,1119627,19.23%,900,67.81
Shravasti,Uttar Pradesh,1117361,-5.02%,881,46.74
Bundi,Rajasthan,1110906,15.40%,925,61.52
Idukki,Kerala,1108974,-1.79%,1006,91.99
Hamirpur_2,Uttar Pradesh,1104285,5.80%,861,68.77
Jorhat,Assam,1092256,9.31%,962,82.15
Narsimhapur,Madhya Pradesh,1091854,14.01%,920,75.69
Mewat,Haryana,1089263,37.93%,907,54.08
Ramanagara,Karnataka,1082636,5.05%,976,69.22
Anantnag,Jammu and Kashmir,1078692,38.58%,927,62.69
Kaithal,Haryana,1074304,13.55%,881,69.15
Gadchiroli,Maharashtra,1072942,10.58%,982,74.36
Golaghat,Assam,1066888,12.75%,964,77.43
Shahdol,Madhya Pradesh,1066063,17.39%,974,66.67
Saraikela Kharsawan,Jharkhand,1065056,25.47%,956,67.7
Gadag,Karnataka,1064570,9.54%,982,75.12
Karur,Tamil Nadu,1064493,13.77%,1015,75.6
Rohtak,Haryana,1061204,12.88%,867,80.22
Chandigarh,Chandigarh,1055450,17.19%,818,86.05
Mandla,Madhya Pradesh,1054905,17.97%,1008,66.87
Chatra,Jharkhand,1042886,31.77%,953,60.18
Palwal,Haryana,1042708,25.76%,880,69.32
Lakhimpur,Assam,1042137,17.22%,968,77.2
Sambalpur,Orissa,1041099,11.27%,976,76.22
Sirohi,Rajasthan,1036346,21.76%,940,55.25
Mahasamund,Chhattisgarh,1032754,20.05%,1017,71.02
Gumla,Jharkhand,1025213,23.16%,993,65.73
Jhabua,Madhya Pradesh,1025048,30.70%,990,43.3
Chamarajanagar,Karnataka,1020791,5.73%,993,61.43
Panna,Madhya Pradesh,1016520,18.67%,905,64.79
Goalpara,Assam,1008183,22.64%,964,67.37
Baramulla,Jammu and Kashmir,1008039,19.45%,885,64.63
Lakhisarai,Bihar,1000912,24.77%,902,62.42
Mandi,Himachal Pradesh,999777,10.92%,1007,81.53
Moga,Punjab,995746,11.28%,893,70.68
Mohali,Punjab,994628,33.15%,879,83.8
Chitrakoot,Uttar Pradesh,991730,29.43%,879,65.05
Bangalore Rural,Karnataka,990923,16.45%,946,77.93
Rayagada,Orissa,967911,16.46%,1051,49.76
Kurukshetra,Haryana,964655,16.86%,888,76.31
Nayagarh,Orissa,962789,11.37%,915,80.42
Jhajjar,Haryana,958405,8.90%,862,80.65
Morigaon,Assam,957423,23.34%,967,68.03
Karbi Anglong,Assam,956313,17.58%,951,69.25
Nainital,Uttarakhand,954605,25.13%,934,83.88
Puducherry,Puducherry,950289,29.23%,1029,85.44
Baksa,Assam,950075,10.74%,974,69.25
Ramgarh,Jharkhand,949443,13.10%,921,73.17
Fatehabad,Haryana,942011,16.85%,902,67.92
Darrang,Assam,928500,22.19%,954,63.08
Mahendragarh,Haryana,922088,13.48%,895,77.72
Muktsar,Punjab,901896,16.00%,896,65.81
Pakur,Jharkhand,900422,28.33%,989,48.82
Rewari,Haryana,900332,17.64%,898,80.99
North Delhi,Delhi,887978,13.62%,869,86.85
Kokrajhar,Assam,887142,5.21%,959,65.22
South Tripura,Tripura,876001,14.15%,957,84.66
Mahoba,Uttar Pradesh,875958,23.64%,878,65.27
Kupwara,Jammu and Kashmir,870354,33.82%,835,64.51
Pratapgarh,Rajasthan,867848,22.78%,983,55.97
Jashpur,Chhattisgarh,851669,14.60%,1005,67.92
Sindhudurg,Maharashtra,849651,-2.21%,1036,85.56
Ashoknagar,Madhya Pradesh,845071,22.66%,904,66.42
Udalguri,Assam,831668,9.61%,973,65.41
Neemuch,Madhya Pradesh,826067,13.77%,954,70.8
East Khasi Hills,Meghalaya,825922,24.96%,1011,84.15
Kabirdham,Chhattisgarh,822526,40.71%,996,60.85
North Goa,Goa,818008,7.84%,963,89.57
Wayanad,Kerala,817420,4.71%,1035,89.03
Kapurthala,Punjab,815168,8.04%,912,79.07
Shimla,Himachal Pradesh,814010,12.67%,915,83.64
Tapi,Gujarat,807022,12.14%,1007,68.26
Dhamtari,Chhattisgarh,799781,13.19%,1010,78.36
Jamtara,Jharkhand,791042,21.12%,954,64.59
Datia,Madhya Pradesh,786754,18.46%,873,72.63
Nalbari,Assam,771639,11.99%,949,78.63
Mansa,Punjab,769751,11.76%,883,61.83
Burhanpur,Madhya Pradesh,757847,19.37%,951,64.36
Ariyalur,Tamil Nadu,754894,8.54%,1015,71.34
Badgam,Jammu and Kashmir,753745,24.14%,894,56.08
Anuppur,Madhya Pradesh,749237,12.30%,976,67.88
Kanker,Chhattisgarh,748941,15.06%,1006,70.29
Bongaigaon,Assam,738804,20.59%,966,69.74
The Nilgiris,Tamil Nadu,735394,-3.51%,1042,85.2
Kandhamal,Orissa,733110,13.10%,1037,64.13
Alirajpur,Madhya Pradesh,728999,19.45%,1011,36.1
Latehar,Jharkhand,726978,29.61%,967,59.51
Kodarma,Jharkhand,716259,43.42%,950,66.84
Dindori,Madhya Pradesh,704524,21.32%,1002,63.9
Arwal,Bihar,700843,18.89%,928,67.43
North Tripura,Tripura,693947,17.44%,967,87.5
Sheopur,Madhya Pradesh,687861,22.94%,901,57.43
Pauri Garhwal,Uttarakhand,687271,-1.41%,1103,82.02
Dhemaji,Assam,686133,19.97%,953,72.7
Rupnagar,Punjab,684627,8.87%,915,82.19
Jaisalmer,Rajasthan,669919,31.81%,852,57.22
Hailakandi,Assam,659296,21.45%,951,74.33
Korea,Chhattisgarh,658917,12.38%,968,70.64
Sheohar,Bihar,656246,27.19%,893,53.78
Umaria,Madhya Pradesh,644758,24.96%,950,65.89
West Garo Hills,Meghalaya,643291,24.09%,984,67.58
Rajouri,Jammu and Kashmir,642415,32.93%,860,68.17
South Goa,Goa,640537,8.73%,986,87.59
Sheikhpura,Bihar,636342,21.09%,930,63.86
Almora,Uttarakhand,622506,-1.28%,1139,80.47
Tehri Garhwal,Uttarakhand,618931,2.35%,1077,76.36
Faridkot,Punjab,617508,12.09%,890,69.55
Kathua,Jammu and Kashmir,616435,20.53%,890,73.09
Malkangiri,Orissa,613192,21.62%,1020,48.54
Shahid Bhagat Singh Nagar,Punjab,612310,4.23%,954,79.78
Nuapada,Orissa,610382,15.02%,1021,57.35
Subarnapur,Orissa,610183,12.61%,960,74.42
Fatehgarh Sahib,Punjab,600163,11.46%,871,79.35
Simdega,Jharkhand,599578,16.58%,997,67.99
Barnala,Punjab,595527,13.02%,876,67.82
Narmada,Gujarat,590297,14.75%,961,72.31
Porbandar,Gujarat,585449,9.06%,950,75.78
Central Delhi,Delhi,582320,-9.91%,892,85.14
Solan,Himachal Pradesh,580320,15.93%,880,83.68
Jharsuguda,Orissa,579505,13.69%,953,78.86
Gajapati,Orissa,577817,11.37%,1043,53.49
Harda,Madhya Pradesh,570465,20.25%,935,72.5
Perambalur,Tamil Nadu,565223,14.50%,1003,74.32
Panchkula,Haryana,561293,19.83%,873,81.88
Pulwama,Jammu and Kashmir,560440,27.00%,912,63.48
Udhampur,Jammu and Kashmir,554985,20.78%,870,68.49
Kodagu,Karnataka,554519,1.09%,1019,82.61
Dantewada,Chhattisgarh,533638,12.08%,1020,42.12
Khunti,Jharkhand,531885,22.32%,997,63.86
Sirmaur,Himachal Pradesh,529855,15.54%,918,78.8
Una,Himachal Pradesh,521173,16.26%,976,86.53
Chamba,Himachal Pradesh,519080,12.63%,986,72.17
Imphal West,Manipur,517992,16.56%,1031,86.08
Pithoragarh,Uttarakhand,483439,4.58%,1020,82.25
Chirang,Assam,482162,11.34%,969,63.55
Senapati,Manipur,479148,68.94%,937,63.6
Poonch,Jammu and Kashmir,476835,27.97%,893,66.74
Lohardaga,Jharkhand,461790,26.68%,985,67.61
Imphal East,Manipur,456113,15.51%,1017,81.95
Hamirpur,Himachal Pradesh,454768,10.19%,1095,88.15
Bauda,Orissa,441162,18.16%,991,71.61
Kullu,Himachal Pradesh,437903,14.76%,942,79.4
Kulgam,Jammu and Kashmir,424483,7.73%,951,59.23
Thoubal,Manipur,422168,15.94%,1002,74.47
Doda,Jammu and Kashmir,409936,28.00%,919,64.68
Aizawl,Mizoram,400309,22.92%,1009,97.89
Jaintia Hills,Meghalaya,395124,32.10%,1013,61.64
Bandipora,Jammu and Kashmir,392232,28.65%,889,56.28
Chamoli,Uttarakhand,391605,5.74%,1019,82.65
West Khasi Hills,Meghalaya,383461,29.53%,980,77.87
Bilaspur_2,Himachal Pradesh,381956,12.05%,981,84.59
Dimapur,Nagaland,378811,127.29%,919,84.79
Dhalai,Tripura,378230,22.85%,944,85.72
Dadra and Nagar Haveli,Dadra and Nagar Haveli,343709,55.88%,774,76.24
Uttarkashi,Uttarakhand,330086,11.89%,958,75.81
Samba,Jammu and Kashmir,318898,17.01%,886,81.41
East Garo Hills,Meghalaya,317917,26.87%,972,73.95
Reasi,Jammu and Kashmir,314667,27.04%,890,58.15
Debagarh,Orissa,312520,14.01%,975,72.57
Ganderbal,Jammu and Kashmir,297446,36.50%,874,58.04
Ramban,Jammu and Kashmir,283713,31.99%,902,54.27
East Sikkim,Sikkim,283583,15.73%,873,83.85
Churachandpur,Manipur,274143,20.29%,975,82.78
Kohima,Nagaland,267988,131.81%,928,85.23
Shupiyan,Jammu and Kashmir,266215,25.97%,951,60.76
Bageshwar,Uttarakhand,259898,4.18%,1090,80.01
Champawat,Uttarakhand,259648,15.63%,980,79.83
Ri Bhoi,Meghalaya,258840,34.26%,953,75.67
Bijapur,Chhattisgarh,255230,8.78%,984,40.86
Mon,Nagaland,250260,80.36%,899,56.99
Rudraprayag,Uttarakhand,242285,6.53%,1114,81.3
South Andaman,Andaman And Nicobar Islands,238142,14.23%,871,89.13
Bishnupur,Manipur,237399,13.93%,999,75.85
Kishtwar,Jammu and Kashmir,230696,20.88%,920,56.2
The Dangs,Gujarat,228291,22.26%,1006,75.16
Dima Hasao,Assam,214102,13.84%,932,77.54
Karaikal,Puducherry,200222,17.23%,1047,87.05
Tuensang,Nagaland,196596,94.83%,929,73.08
Mokokchung,Nagaland,194622,60.94%,925,91.62
Daman,Daman and Diu,191173,67.71%,534,88.07
Ukhrul,Manipur,183998,30.70%,943,81.35
Papum Pare,Arunachal Pradesh,176573,44.73%,980,79.95
Wokha,Nagaland,166343,98.81%,968,87.69
Phek,Nagaland,163418,111.84%,951,78.05
Lunglei,Mizoram,161428,17.64%,947,88.86
Changlang,Arunachal Pradesh,148226,18.18%,926,59.8
South Sikkim,Sikkim,146850,11.65%,915,81.42
Lohit,Arunachal Pradesh,145726,16.59%,912,68.18
Chandel,Manipur,144182,21.85%,933,71.11
South Garo Hills,Meghalaya,142334,40.95%,945,71.72
New Delhi,Delhi,142004,-20.72%,822,88.34
Kargil,Jammu and Kashmir,140802,18.02%,810,71.34
Zunheboto,Nagaland,140757,78.05%,976,85.26
Tamenglong,Manipur,140651,26.15%,943,70.05
Narayanpur,Chhattisgarh,139820,19.16%,994,48.62
West Sikkim,Sikkim,136435,10.69%,942,77.39
Leh,Jammu and Kashmir,133487,13.87%,690,77.2
Champhai,Mizoram,125745,16.01%,984,95.91
Lawngtlai,Mizoram,117894,60.14%,945,65.88
West Siang,Arunachal Pradesh,112274,8.04%,930,66.46
Tirap,Arunachal Pradesh,111975,11.61%,944,52.19
North and Middle Andaman,Andaman And Nicobar Islands,105597,-0.02%,925,83.91
East Siang,Arunachal Pradesh,99214,13.52%,980,72.54
Peren,Nagaland,95219,104.15%,915,77.95
Kurung Kumey,Arunachal Pradesh,92076,116.56%,1032,48.75
Mamit,Mizoram,86364,37.56%,927,84.93
Kinnaur,Himachal Pradesh,84121,7.39%,819,80
Kolasib,Mizoram,83955,27.28%,956,93.5
West Kameng,Arunachal Pradesh,83947,12.53%,819,67.07
Upper Subansiri,Arunachal Pradesh,83448,50.78%,998,63.8
Lower Subansiri,Arunachal Pradesh,83030,49.00%,984,74.35
East Kameng,Arunachal Pradesh,78690,37.62%,1029,60.02
Kiphire,Nagaland,74004,38.58%,956,69.54
Serchhip,Mizoram,64937,20.56%,977,97.91
Lakshadweep,Lakshadweep,64473,6.30%,946,91.85
Saiha,Mizoram,56574,-7.34%,979,90.01
Yanam,Puducherry,55626,77.19%,1038,79.47
Lower Dibang Valley,Arunachal Pradesh,54080,7.20%,928,69.13
Diu,Daman and Diu,52074,17.77%,1031,83.46
Longleng,Nagaland,50484,-21.57%,905,72.17
Tawang,Arunachal Pradesh,49977,28.40%,714,59
North Sikkim,Sikkim,43709,6.53%,767,78.01
Mahe,Puducherry,41816,13.54%,1184,97.87
Nicobars,Andaman And Nicobar Islands,36842,-12.42%,777,78.06
Upper Siang,Arunachal Pradesh,35320,5.87%,889,59.99
Lahul and Spiti,Himachal Pradesh,31564,-5.00%,903,76.81
Anjaw,Arunachal Pradesh,21167,14.19%,839,56.46
Dibang Valley,Arunachal Pradesh,8004,10.07%,813,64.1
Agar Malwa,Madhya Pradesh,571275,,,
Shamli,Uttar Pradesh,1274815,,,
Pathankot,Punjab,626154,,,
Palghar,Maharashtra,2990116,,,
Kondagaon,Chhattisgarh,578326,,,
Sukma,Chhattisgarh,250159,,,
Bemetara,Chhattisgarh,795759,,,
Mungeli,Chhattisgarh,701707,,,
Botad,Gujarat,656005,,,
Unokoti,Tripura,277335,,,
Namsai,Arunachal Pradesh,95950,,,
Gir Somnath,Gujarat,1217477,,,
Baloda Bazar,Chhattisgarh,1305343,,,
Morbi,Gujarat,960329,,,
Gariaband,Chhattisgarh,597653,,,
Surajpur,Chhattisgarh,789043,,,
Aravalli,Gujarat,1051746,,,
Chhota Udaipur,Gujarat,1071831,,,
Khowai,Tripura,327391,,,
Balod,Chhattisgarh,826165,,,
Gomati,Tripura,436868,,,
Devbhoomi Dwarka,Gujarat,752484,,,
Sipahijala,Tripura,484233,,,
Sambhal,Uttar Pradesh,2217020,,,
Mahisagar,Gujarat,994624,,,
South West Garo Hills,Meghalaya,172495,,,
Fazilka,Punjab,1180483,,,
Alipurduar,West Bengal,1501983,,,
Hapur,Uttar Pradesh,1338211,,,
Amethi,Uttar Pradesh,2549935,,,
North Garo Hills,Meghalaya,118325,,,
